timestamp,q0,q1,q2,q3,accel_x,accel_y,accel_z
356096756,0.998234,0.020179,0.00825833,-0.0552582,0.0614738,0.0496335,0.0596231
356195756,0.998246,0.020226,0.00816496,-0.0550414,0.0332665,-0.00651161,-0.000246506
356304756,0.998248,0.0201391,0.00814094,-0.0550434,0.0183333,0.0502491,-0.0122959
356403756,0.998253,0.0200415,0.0081774,-0.0549724,-0.00743031,0.0450009,0.033144
356512756,0.998254,0.0199716,0.00806911,-0.0549974,0.0167284,-0.0327779,-0.00526576
356611756,0.998237,0.0198382,0.00800109,-0.0553724,-0.00615953,0.0153318,0.0233488
356720756,0.998232,0.0198195,0.00803776,-0.0554624,0.0161276,0.0157538,-0.103591
356829756,0.99824,0.0198346,0.00806057,-0.0553084,-0.0313681,-0.0252608,0.00180879
356928756,0.998238,0.019884,0.00809058,-0.0553171,-0.00198345,0.0528421,-0.0532281
357037756,0.998232,0.0199481,0.00810628,-0.0553963,-0.0327115,0.00371795,0.00909735
357136770,0.998224,0.0200144,0.00805271,-0.0555251,-0.0336395,-0.00479892,-0.0339779
357245756,0.998219,0.0200407,0.00801221,-0.0556101,-0.0295812,0.0617166,0.0067456
357344756,0.998216,0.0199859,0.00799762,-0.0556856,-0.0370828,-0.0234329,-0.0244376
357453756,0.998129,0.0201719,0.00989618,-0.0568725,-0.262696,0.257876,0.395504
357562756,0.998086,0.0208138,0.00757429,-0.0577341,-0.00772655,-0.0349626,-0.486143
357661756,0.998052,0.0281488,0.0132085,-0.0540843,0.609447,-0.597064,-0.203766
357770756,0.998051,0.0273494,0.0126969,-0.0546387,0.139036,-0.0477239,-0.0204808
357869756,0.998048,0.0273545,0.0127655,-0.0546688,0.161954,-0.0764817,-0.0348123
357978758,0.99804,0.0272397,0.0128172,-0.0548654,0.177318,-0.102865,-0.0325132
358077756,0.997823,0.0272815,0.0133451,-0.0585482,-0.104973,0.0967524,-0.254935
358186756,0.996444,0.0294145,0.0241546,-0.0751664,0.0294182,-0.0676193,-0.251793
358295756,0.99501,0.0430107,0.0321658,-0.0840831,-0.783617,0.226499,1.4026
358394756,0.994116,0.029236,0.0304218,-0.0997629,2.91149,1.44844,-1.98407
358503756,0.993767,0.0340757,0.0332434,-0.100803,-0.457997,-0.308853,-0.865643
358602756,0.993167,0.0380252,0.0339872,-0.104969,0.307087,-0.0937611,0.24503
358711756,0.993052,0.0391437,0.0193743,-0.109267,0.696111,-0.357086,-0.0296323
358810756,0.992324,0.036516,0.00726893,-0.117926,-0.779899,-0.636646,0.158926
358919756,0.990699,0.0318556,-0.00179029,-0.132279,0.318514,0.106641,-0.612311
359028756,0.99019,0.0386065,0.00367131,-0.134235,0.0101405,-0.098494,-0.190834
359127756,0.990299,0.0388145,0.00624295,-0.133272,-0.814253,-0.687534,-0.527715
359236764,0.990493,0.0378095,0.00576971,-0.132137,0.401749,0.513624,0.768763
359335756,0.990631,0.0352764,-0.00517214,-0.131831,0.881664,0.0889459,-0.231327
359444756,0.991519,0.0332546,-0.00604493,-0.125491,0.606147,0.279438,0.0391789
359543756,0.991924,0.0337454,-0.0087394,-0.121948,0.219615,-0.289654,0.36154
359652756,0.992221,0.0336635,-0.0125799,-0.119189,0.669687,-0.081213,0.69834
359761756,0.992896,0.0264768,-0.0198823,-0.114289,0.89351,0.136584,0.572365
359860756,0.994143,0.0172164,-0.0295452,-0.102521,1.09415,0.220284,0.499551
359969756,0.99517,0.00712596,-0.0456637,-0.0866013,0.495254,0.0658882,0.0538829
360068756,0.99575,-0.00704725,-0.0599323,-0.0695787,0.333158,0.0774189,-1.18115
360177756,0.996672,-0.019002,-0.0569678,-0.0551149,-0.837554,0.578219,-2.98529
360276756,0.998913,-0.0198748,-0.0294113,-0.0302248,-0.0756738,0.745701,-3.96538
360385756,0.999729,0.0201589,-0.0116092,-0.00127731,-1.21635,-0.242419,1.39973
360494756,0.999337,0.0333079,0.00912132,0.011504,-0.777104,-0.497055,3.39319
360593756,0.999444,0.0262272,0.0154284,0.0136087,0.515877,-0.487275,1.03605
360702756,0.999516,0.0218759,0.0182729,0.0124525,0.714644,0.0910481,0.724867
360801756,0.999608,0.0188434,0.017891,0.0103998,0.337458,-0.169637,0.0898872
360910756,0.99972,0.0119892,0.0179337,0.009721,-1.06359,-1.18941,-0.105829
361009756,0.999776,0.00745933,0.0175555,0.00912821,-0.519182,-0.326695,-0.407199
361118758,0.999798,0.0075384,0.0159843,0.00953663,0.161252,0.00720683,-0.0609324
361227756,0.999815,0.00695572,0.0144671,0.010584,-0.0337956,-0.1155,0.479271
361326756,0.999856,0.00613724,0.0132147,0.00869324,0.624626,0.198283,1.17054
361435756,0.999852,0.00645842,0.0134119,0.0086191,0.709879,-0.198419,-1.52846
361534756,0.999887,0.00282119,0.0130096,0.00701705,-0.992974,-0.653497,0.0513791
361643756,0.999973,0.00343899,0.00642684,0.000404109,-0.331385,-0.620772,0.374666
361742756,0.999922,0.00369852,-0.00370495,-0.0112988,-0.752051,-1.33077,0.117894
361851756,0.999502,0.00742823,-0.0134374,-0.0275679,0.181191,-0.900183,0.502791
361960756,0.9984,0.0167961,-0.0257202,-0.0474758,0.601556,-0.575707,-0.65209
362059756,0.999456,-0.0213728,0.0103112,-0.0228974,4.65212,5.37185,3.79758
362168756,0.998164,-0.0119409,0.0378062,0.0457999,0.312837,2.13745,-2.72104
362267756,0.995982,-0.0406909,0.0471202,0.0643782,-4.807,-2.25096,13.2534
362376758,0.995503,-0.0397069,0.0728064,0.0457864,0.49012,1.08616,-0.921268
362475756,0.996421,-0.0308007,0.0705991,0.0348099,-0.493228,0.735952,0.485237
362584756,0.99796,-0.0248613,0.0569767,0.0145459,0.121579,1.22256,1.18472
362693756,0.99912,-0.0183966,0.0373706,-0.00499937,0.71639,1.24087,0.37653
362792759,0.999526,-0.00993957,0.0186849,-0.0223445,2.00744,2.2772,-1.66054
362901756,0.999372,0.033715,0.000656772,-0.0108721,-0.688856,3.10643,2.34309
363000756,0.998372,0.0509682,0.0247104,-0.00676144,-0.0193492,1.1245,2.88668
363109756,0.996281,0.0393783,0.0705568,0.0299076,0.402851,0.178012,1.14838
363208781,0.995242,0.0292412,0.0853972,0.036675,0.288505,-0.802478,1.20648
363317759,0.995954,0.0187828,0.0751362,0.0455854,0.938875,-0.850962,1.28885
363426756,0.9958,0.00392774,0.0733133,0.0546977,0.261777,0.6541,-0.19841
363525756,0.997262,0.000910912,0.0607189,0.0421894,1.82197,1.27552,-0.780276
363634756,0.996965,0.0142055,0.0652888,0.0399632,-0.331538,1.5654,-0.238129
363733756,0.996128,0.0347551,0.0682318,0.0431814,-0.614331,1.39211,0.28988
363842756,0.995052,0.0388206,0.0812185,0.0420452,0.061501,0.722291,0.66434
363941756,0.992303,0.0476844,0.104306,0.0467073,1.12722,1.17707,0.0473107
364050756,0.98968,0.0387314,0.131641,0.0412754,0.0722748,-0.0515517,0.311953
364159756,0.98621,0.0159309,0.163667,0.0186976,0.667813,0.431643,-0.137668
364258756,0.981297,-0.00516021,0.192393,-0.00389215,-0.664752,0.882843,0.607011
364367756,0.977688,-0.0118463,0.209131,-0.0158474,2.9038,0.749712,0.827316
364466756,0.973574,-0.0189236,0.227569,-0.00267237,0.343841,1.43679,-1.80542
364575756,0.967584,0.000485566,0.252191,0.013413,-0.752204,-0.209706,-0.251434
364674756,0.96425,-0.00367459,0.26488,0.00683067,1.52929,-0.193507,-1.98338
364783756,0.96258,-0.0203004,0.270231,-0.00177415,0.686412,0.325736,-0.309927
364892758,0.972475,-0.0606319,0.224782,-0.00945271,-1.44651,3.59596,-1.30281
364991756,0.976758,-0.0709327,0.202254,0.00248204,-0.690254,1.88838,0.997107
365100756,0.978464,-0.076425,0.19097,0.0172838,-4.2187,0.353387,3.64667
365199756,0.978318,-0.0870462,0.185859,0.0278201,-2.16658,0.901159,-0.876453
365308756,0.98061,-0.0818357,0.178066,4.56609e-05,1.3471,1.84017,0.727151
365407756,0.981821,-0.0644698,0.17216,-0.047247,1.75494,1.85655,0.303815
365516756,0.983586,-0.0553417,0.157483,-0.0685226,-0.527232,1.65572,0.311976
365625756,0.978056,-0.0695223,0.163596,-0.108669,0.25838,1.18473,-1.34159
365724756,0.977116,-0.0685361,0.151726,-0.132383,5.73409,-0.284661,-2.58646
365833756,0.982934,-0.0523566,0.155646,-0.0829089,-0.812552,0.882082,-0.728293
365932756,0.98592,-0.0427427,0.142212,-0.0768763,-1.21265,0.725162,0.284152
366041756,0.988187,-0.0354421,0.129846,-0.0732877,-1.24815,0.600835,0.465613
366140756,0.988347,-0.0294141,0.131042,-0.0716415,-1.89274,0.562971,-0.390963
366249756,0.987505,-0.0281495,0.1225,-0.0950493,0.66597,1.02053,-0.415719
366358756,0.986312,-0.0244114,0.117997,-0.112559,-0.41938,0.646761,-0.87432
366457756,0.983368,-0.0258185,0.109906,-0.142271,1.65084,0.974967,0.0608674
366566756,0.979706,-0.0314672,0.100727,-0.170413,0.446625,0.764407,0.450808
