timestamp,q0,q1,q2,q3,accel_x,accel_y,accel_z
11798113,0.996128,-0.048158,0.0236357,0.0696475,-0.105381,-0.728086,9.75131
11810104,0.996126,-0.0481756,0.0236179,0.0696661,-0.196392,-0.785566,9.73455
11831921,0.996125,-0.0481654,0.0236605,0.0696737,-0.174836,-0.711321,9.75371
11844102,0.996122,-0.0482154,0.0236752,0.0696896,-0.131726,-0.799937,9.72736
11866921,0.996114,-0.0482617,0.0237105,0.0697543,-0.134121,-0.737666,9.78484
11879107,0.9961,-0.0482987,0.0237758,0.0699016,-0.213157,-0.756826,9.73934
11900921,0.996094,-0.0483409,0.0237658,0.0699704,-0.143701,-0.775986,9.75131
11913131,0.996088,-0.0483472,0.0237409,0.0700583,-0.153281,-0.737666,9.74652
11934921,0.99608,-0.0483573,0.0237487,0.0701599,-0.0981958,-0.787961,9.77047
11947113,0.996084,-0.0483062,0.0237299,0.0701488,-0.0958008,-0.744851,9.80161
11968921,0.996083,-0.0483235,0.0237435,0.0701336,-0.107776,-0.742456,9.79442
11981111,0.996075,-0.0483955,0.0238366,0.0701799,-0.119751,-0.742456,9.73455
12002922,0.996076,-0.0483554,0.0238352,0.0701886,-0.112566,-0.783171,9.77526
12024921,0.996078,-0.0483306,0.0238111,0.0701868,-0.193997,-0.821492,9.77287
12037112,0.996076,-0.0483519,0.0237962,0.070209,-0.158071,-0.768801,9.76808
12058922,0.996073,-0.048371,0.0238259,0.0702182,-0.0479004,-0.740061,9.73455
12071111,0.996069,-0.0484307,0.0238277,0.0702337,-0.114961,-0.773591,9.79442
12092922,0.996063,-0.0484678,0.0238814,0.0702726,-0.179626,-0.783171,9.77287
12105111,0.996058,-0.0484931,0.0239015,0.0703237,-0.184417,-0.780776,9.7106
12126921,0.996053,-0.0485366,0.0238878,0.070376,-0.119751,-0.744851,9.75371
12139111,0.996047,-0.0486059,0.0239404,0.0703953,-0.162861,-0.787961,9.72257
12160946,0.996044,-0.0486138,0.0239925,0.0704055,-0.124541,-0.720901,9.73694
12173111,0.996039,-0.0486215,0.0240415,0.0704521,-0.170046,-0.713716,9.73215
12194922,0.996033,-0.0486635,0.0241159,0.0704922,-0.167651,-0.744851,9.77047
12216946,0.99603,-0.0487066,0.0240873,0.0705154,-0.148491,-0.747246,9.74652
12229111,0.996033,-0.0486799,0.0240925,0.0704782,-0.196392,-0.771196,9.81837
12250922,0.996035,-0.0487188,0.024064,0.0704342,-0.174836,-0.740061,9.76808
12263112,0.996037,-0.0487214,0.0240407,0.0704225,-0.136516,-0.737666,9.7082
12285921,0.996035,-0.0487221,0.0240511,0.0704383,-0.0934058,-0.756826,9.76089
12298113,0.996033,-0.0487681,0.0240836,0.0704327,-0.141306,-0.735271,9.76329
12319921,0.996029,-0.0487679,0.0241066,0.0704807,-0.167651,-0.687371,9.70102
12332141,0.996024,-0.0487763,0.0241264,0.0705324,-0.196392,-0.740061,9.72018
12353922,0.996026,-0.048791,0.0240904,0.0705128,-0.0958008,-0.754431,9.77287
12366111,0.996019,-0.0488397,0.0241314,0.0705531,-0.177231,-0.756826,9.78245
12387921,0.996018,-0.0487939,0.0241905,0.0705826,-0.0910107,-0.742456,9.78484
12400108,0.996023,-0.0487847,0.0241628,0.0705364,-0.136516,-0.716111,9.72976
12421922,0.996015,-0.0488048,0.0242185,0.0706104,-0.208367,-0.785566,9.76568
12443921,0.996011,-0.0487876,0.0242549,0.0706593,-0.105381,-0.694556,9.804
12456112,0.996002,-0.0488478,0.0243091,0.0707328,-0.124541,-0.749641,9.75371
12477922,0.996001,-0.0488771,0.0243512,0.0707127,-0.162861,-0.708926,9.73694
12490111,0.995999,-0.0488911,0.0243969,0.0707202,-0.131726,-0.771196,9.73455
12511952,0.995999,-0.0489116,0.0244198,0.0706937,-0.162861,-0.768801,9.77287
12524112,0.995999,-0.0488995,0.0243549,0.0707185,-0.129331,-0.771196,9.72976
12545922,0.995991,-0.048923,0.0243187,0.0708385,-0.126936,-0.737666,9.74892
12558112,0.995983,-0.0489494,0.0243932,0.070898,-0.0790356,-0.764011,9.79203
12579922,0.995975,-0.0489715,0.0244344,0.070978,-0.143701,-0.749641,9.73934
12592111,0.995971,-0.0489721,0.0244166,0.0710483,-0.167651,-0.802332,9.72018
12613921,0.995966,-0.0489944,0.0243372,0.0711298,-0.141306,-0.744851,9.70341
12635963,0.995955,-0.0490402,0.0243456,0.0712513,-0.131726,-0.740061,9.75371
12648111,0.995951,-0.0490762,0.024403,0.0712583,-0.0646655,-0.742456,9.79921
12669922,0.995954,-0.0490796,0.0243888,0.0712128,-0.114961,-0.735271,9.72257
12682111,0.99594,-0.0491483,0.0244325,0.0713458,-0.225132,-0.749641,9.72976
12704946,0.995927,-0.0492113,0.0245246,0.071461,-0.150886,-0.771196,9.71778
12717111,0.995929,-0.0492078,0.0245093,0.0714311,-0.158071,-0.799937,9.73215
12738922,0.995924,-0.0492243,0.0245023,0.0715043,-0.167651,-0.706531,9.7561
12751115,0.995918,-0.0492463,0.0245837,0.0715367,-0.150886,-0.744851,9.72736
12773922,0.995903,-0.0493552,0.0245982,0.071669,-0.0910107,-0.737666,9.77287
12786111,0.995896,-0.0493847,0.02466,0.0717272,-0.201182,-0.699346,9.7585
12807921,0.995887,-0.0493851,0.0246645,0.0718398,-0.186812,-0.759221,9.74413
12820108,0.995881,-0.049407,0.0246509,0.0719153,-0.143701,-0.783171,9.73455
12841922,0.995874,-0.0494589,0.0246118,0.0719974,-0.122146,-0.807122,9.77526
12854111,0.995867,-0.0494803,0.0245927,0.0720749,-0.117356,-0.740061,9.78245
12875946,0.995863,-0.0495247,0.0246335,0.0720886,-0.153281,-0.780776,9.73934
12897921,0.995859,-0.0495389,0.0247412,0.0720974,-0.184417,-0.759221,9.78484
12910113,0.995856,-0.0495357,0.0247575,0.0721417,-0.107776,-0.740061,9.77047
12932974,0.995855,-0.0495508,0.02472,0.072152,-0.162861,-0.764011,9.76329
12945111,0.995854,-0.0495947,0.0247054,0.0721469,-0.196392,-0.713716,9.78005
12966922,0.995849,-0.0496641,0.0247718,0.0721384,-0.134121,-0.720901,9.73455
12979112,0.995843,-0.0497046,0.0248586,0.0721684,-0.186812,-0.716111,9.81119
13000946,0.995839,-0.0496969,0.0249198,0.0722087,-0.172441,-0.764011,9.7561
13013111,0.995838,-0.0496839,0.0248645,0.0722502,-0.153281,-0.775986,9.76568
13034922,0.995833,-0.049701,0.0248404,0.0723185,-0.153281,-0.713716,9.75131
13047111,0.995826,-0.0496942,0.0249002,0.0723956,-0.102986,-0.704136,9.78484
13068921,0.995827,-0.0497455,0.0248637,0.0723529,-0.143701,-0.809517,9.79442
13081111,0.995827,-0.0497461,0.0248515,0.0723641,-0.191602,-0.773591,9.70102
13102921,0.995821,-0.0497869,0.0248392,0.0724234,-0.100591,-0.749641,9.72497
13115145,0.995821,-0.0498312,0.0248346,0.0723898,-0.0790356,-0.735271,9.79921
13136921,0.995817,-0.0498313,0.0248346,0.0724528,-0.193997,-0.780776,9.74652
13158922,0.995814,-0.0498152,0.0248222,0.0725013,-0.198787,-0.740061,9.79442
13171115,0.995802,-0.0498942,0.0248383,0.0726086,-0.155676,-0.730481,9.78245
13193922,0.995801,-0.0498783,0.0248566,0.0726272,-0.0598755,-0.775986,9.73215
13206111,0.995784,-0.0500102,0.0250723,0.0726999,-0.119751,-0.711321,9.78724
13227921,0.995785,-0.0500648,0.0249634,0.0726792,-0.105381,-0.840652,9.62438
13240108,0.995789,-0.0499929,0.0248215,0.07272,-0.332908,-0.708926,9.69862
13261922,0.995771,-0.0501542,0.0252042,0.0727303,-0.172441,-0.680186,9.92854
13274111,0.995761,-0.0502532,0.0249782,0.072877,0.0479004,-0.890947,9.72976
13295946,0.99576,-0.0502993,0.0249038,0.0728776,-0.299377,-0.816702,9.55732
13308111,0.995767,-0.0500759,0.0248671,0.0729476,-0.419128,-0.792751,9.76808
13329922,0.995778,-0.0498947,0.0249149,0.0729115,-0.0910107,-0.673001,9.99082
13342112,0.99579,-0.050147,0.0246684,0.0726588,0.179626,-0.725691,9.81598
13364946,0.995785,-0.0503016,0.0247019,0.0726116,-0.366438,-0.888552,9.59564
13377111,0.995772,-0.0502619,0.0248804,0.0727471,-0.0191602,-0.711321,9.65791
13398922,0.995777,-0.0501891,0.0248685,0.0727316,0.0910107,-0.716111,9.82316
13420946,0.995765,-0.0503137,0.0248612,0.0728218,-0.373623,-0.617915,9.8543
13433111,0.995731,-0.0506476,0.0252476,0.0729259,-0.390388,-0.814307,9.74173
13454922,0.995737,-0.0506282,0.0250849,0.0729045,-0.203577,-0.907712,9.57648
13467112,0.995763,-0.0502965,0.0247543,0.0728952,-0.0455054,-0.589175,9.93334
13488921,0.995745,-0.050677,0.0248459,0.0728456,-0.138911,-0.775986,9.95968
13501113,0.995725,-0.0510759,0.0250669,0.0727688,-0.177231,-0.890947,9.40643
13522921,0.995766,-0.0504909,0.0248761,0.072676,-0.122146,-0.749641,9.65551
13535111,0.995781,-0.050454,0.024868,0.0725004,-0.380808,-0.684976,10.0555
13556922,0.99575,-0.0511529,0.0252564,0.0722949,-0.253872,-0.747246,9.68904
13569111,0.995772,-0.0510209,0.0251291,0.0721313,0.0263452,-0.974773,9.49265
13590923,0.99581,-0.0505581,0.0248109,0.0720418,-0.0574805,-0.720901,9.84472
13612921,0.99579,-0.0508486,0.0250642,0.0720273,-0.0958008,-0.675396,9.89501
13625111,0.995769,-0.0510227,0.0251178,0.0721771,0.0862207,-0.847837,9.59803
13646921,0.995784,-0.0507093,0.0248779,0.072283,-0.191602,-0.833467,9.7561
13659111,0.99577,-0.0508143,0.0250657,0.0723255,-0.263452,-0.747246,9.8519
13680922,0.995765,-0.0509465,0.0252237,0.0722525,-0.316143,-0.740061,9.72736
13693111,0.995777,-0.0509066,0.0251527,0.0721357,-0.158071,-0.804727,9.68186
13714946,0.995781,-0.0509139,0.0250851,0.072103,-0.0526904,-0.713716,9.73215
13727111,0.995777,-0.0508528,0.0251057,0.0721994,-0.112566,-0.759221,9.79203
13748922,0.995773,-0.0507275,0.0250361,0.0723648,-0.0790356,-0.802332,9.74413
13761112,0.995776,-0.0506365,0.0249038,0.0724335,-0.102986,-0.768801,9.804
13783948,0.995773,-0.0505559,0.0249226,0.0725196,-0.182021,-0.840652,9.72497
13796111,0.995775,-0.0504554,0.0249643,0.0725412,-0.160466,-0.728086,9.78724
13817922,0.995769,-0.0505385,0.0251295,0.0725121,-0.148491,-0.771196,9.82077
13840946,0.995776,-0.0504551,0.0250837,0.0724898,-0.100591,-0.747246,9.73455
13853111,0.99577,-0.0503793,0.0251628,0.0726034,-0.170046,-0.747246,9.79203
13874922,0.995759,-0.0505222,0.0253435,0.0725866,-0.0287402,-0.744851,9.72976
13887112,0.995759,-0.0504214,0.0253554,0.0726517,-0.153281,-0.773591,9.67707
13908921,0.995766,-0.0502971,0.0252664,0.0726803,-0.205972,-0.704136,9.83274
13921113,0.995754,-0.0504612,0.025308,0.0727139,-0.232317,-0.737666,9.77047
13942921,0.995752,-0.0504537,0.025368,0.0727304,-0.179626,-0.718506,9.67467
13955111,0.995755,-0.0503784,0.025398,0.0727239,-0.0431104,-0.730481,9.77287
13976922,0.995753,-0.0504547,0.0253918,0.0726982,-0.215552,-0.754431,9.79442
13989111,0.99574,-0.0505578,0.0255062,0.0727643,-0.165256,-0.787961,9.63875
14010922,0.995741,-0.05048,0.0254042,0.0728452,-0.0694556,-0.775986,9.76568
14023111,0.995734,-0.0505111,0.0253568,0.0729307,-0.273032,-0.730481,9.79203
14044921,0.995726,-0.0505447,0.0254154,0.0729968,-0.155676,-0.737666,9.71778
14066921,0.995731,-0.0504981,0.0253777,0.0729765,-0.143701,-0.752036,9.72257
14079111,0.995725,-0.0505253,0.0254145,0.0730246,-0.165256,-0.754431,9.79921
14100922,0.995722,-0.0505937,0.0254432,0.073007,-0.0694556,-0.790356,9.78245
14113111,0.995721,-0.0505677,0.0254103,0.0730506,-0.184417,-0.759221,9.73694
14134972,0.995721,-0.0505303,0.0254096,0.0730743,-0.138911,-0.799937,9.79203
14147112,0.995715,-0.0505326,0.0254568,0.073146,-0.0862207,-0.730481,9.77047
14168922,0.995711,-0.0505861,0.0255533,0.073127,-0.114961,-0.744851,9.79442
14181112,0.99571,-0.0505701,0.0255752,0.0731392,-0.179626,-0.785566,9.67467
14203948,0.995713,-0.0505615,0.0255259,0.0731289,-0.141306,-0.716111,9.7082
14216111,0.995708,-0.050617,0.0255291,0.0731516,-0.0742456,-0.783171,9.77047
14237922,0.995709,-0.050634,0.0255312,0.0731316,-0.0934058,-0.823887,9.72018
14250113,0.995711,-0.0505475,0.0254995,0.0731742,-0.179626,-0.730481,9.7561
14272921,0.995706,-0.0505831,0.0255217,0.0732141,-0.105381,-0.771196,9.73934
14285113,0.995696,-0.050597,0.0255659,0.0733192,-0.0838257,-0.783171,9.72497
14306921,0.995691,-0.0505363,0.0255552,0.0734308,-0.165256,-0.783171,9.76089
14319113,0.995682,-0.0505663,0.0255841,0.0735258,-0.191602,-0.747246,9.82077
14340922,0.995672,-0.0506141,0.0256569,0.073603,-0.184417,-0.723296,9.78245
14362921,0.995673,-0.0506096,0.0255982,0.073617,-0.162861,-0.737666,9.76089
14375113,0.995681,-0.0506072,0.0255551,0.073519,-0.136516,-0.747246,9.75131
14396922,0.995679,-0.0506694,0.0255428,0.0735143,-0.182021,-0.780776,9.76568
14409111,0.995671,-0.0507564,0.0256004,0.0735366,-0.131726,-0.823887,9.72497
14430922,0.995672,-0.0507241,0.0255279,0.0735763,-0.0311353,-0.787961,9.71539
14443111,0.995669,-0.0506328,0.0254847,0.0736941,-0.150886,-0.764011,9.71539
14464921,0.995663,-0.050681,0.0255014,0.0737359,-0.215552,-0.711321,9.81119
14477111,0.995654,-0.0507487,0.0255744,0.0737782,-0.203577,-0.766406,9.72736
14498946,0.995659,-0.05075,0.0255177,0.0737361,-0.205972,-0.775986,9.73215
14511111,0.99566,-0.0507375,0.0254704,0.0737425,-0.170046,-0.797542,9.82077
14532922,0.995652,-0.0507775,0.025391,0.0738476,-0.122146,-0.833467,9.77287
14554946,0.99564,-0.0508116,0.0254794,0.0739606,-0.0670606,-0.785566,9.72257
14567111,0.995637,-0.0507841,0.0255123,0.0740063,-0.0910107,-0.742456,9.82316
14588922,0.995634,-0.0507867,0.0255366,0.0740397,-0.220342,-0.742456,9.78484
14601112,0.995627,-0.0508321,0.0255579,0.0740941,-0.210762,-0.725691,9.74173
14623948,0.995624,-0.0508744,0.0255311,0.0741159,-0.119751,-0.768801,9.74652
14636111,0.995619,-0.0509691,0.0255334,0.0741214,-0.0455054,-0.752036,9.8064
14657922,0.995614,-0.051003,0.0255446,0.074154,-0.0934058,-0.771196,9.69623
14670113,0.995616,-0.0509553,0.0254804,0.0741778,-0.158071,-0.816702,9.76329
14692921,0.995602,-0.0511003,0.0255758,0.0742352,-0.239502,-0.742456,9.75371
14705113,0.995599,-0.0511112,0.025637,0.0742516,-0.174836,-0.819097,9.72976
14726921,0.995599,-0.0510803,0.0255925,0.0742853,-0.174836,-0.677791,9.78484
14739113,0.99559,-0.051175,0.0256345,0.0743262,-0.110171,-0.732876,9.75371
14760922,0.995591,-0.0511701,0.0256615,0.0743019,-0.0790356,-0.759221,9.74892
14773111,0.995593,-0.0511918,0.0255905,0.0742867,-0.0934058,-0.802332,9.75371
14794946,0.995589,-0.0512266,0.0255428,0.0743407,-0.0646655,-0.764011,9.70341
14816921,0.995588,-0.0512085,0.0255467,0.0743623,-0.126936,-0.768801,9.81358
14829113,0.995586,-0.0512486,0.0255334,0.0743704,-0.198787,-0.730481,9.71778
14851953,0.995583,-0.0513018,0.0255459,0.0743592,-0.160466,-0.780776,9.71778
14864111,0.995586,-0.0513197,0.0255761,0.0743071,-0.153281,-0.687371,9.76568
14885922,0.995579,-0.0514086,0.0255722,0.0743326,-0.0646655,-0.775986,9.78245
14898111,0.995566,-0.0515074,0.0255173,0.074458,-0.153281,-0.787961,9.73934
14919946,0.995562,-0.0513061,0.0254529,0.0746717,-0.0958008,-0.754431,9.78005
14932111,0.995558,-0.0513111,0.0254067,0.0747403,-0.0742456,-0.761616,9.82077
14953922,0.995543,-0.0514319,0.0254391,0.0748408,-0.253872,-0.732876,9.72736
